Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\cheese_cave\Project Outputs for cheese_cave\PANEL PnP\Pick Place for cheese_cave(BASIC).csv

========================================================================================================================
File Design Information:

Date:       07/12/23
Time:       16:28
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"R30","67.3000","8.7000","BottomLayer","90"
"R29","26.5331","9.6628","BottomLayer","270"
"R28","27.5336","9.6630","BottomLayer","270"
"C28","20.2000","9.7000","BottomLayer","0"
"C27","16.8000","9.7000","BottomLayer","0"
"C26","30.3000","9.7000","BottomLayer","0"
"C25","30.3000","11.7000","BottomLayer","0"
"C24","13.4000","9.7000","BottomLayer","0"
"C10","10.0000","9.7000","BottomLayer","180"
"R22","127.1000","14.4000","BottomLayer","0"
"C23","49.4750","8.1500","BottomLayer","180"
"L1","73.5000","12.3000","BottomLayer","180"
"R25","73.5000","5.1000","BottomLayer","180"
"R12","71.6000","5.1000","BottomLayer","180"
"J5","142.0000","10.3500","TopLayer","0"
"Y1","40.6000","17.8500","BottomLayer","0"
"U5","134.2000","10.4000","BottomLayer","180"
"U4","73.5280","8.4320","BottomLayer","180"
"U3","2.7000","17.1000","BottomLayer","270"
"U2","21.0500","5.5000","BottomLayer","0"
"U1","43.1000","7.0000","BottomLayer","270"
"R24","121.6000","15.9000","BottomLayer","270"
"R23","122.6000","15.9000","BottomLayer","270"
"R21","68.2000","8.7000","BottomLayer","90"
"R20","68.2000","6.6000","BottomLayer","270"
"R19","69.2000","6.6000","BottomLayer","90"
"R18","68.8000","10.1000","BottomLayer","180"
"R17","69.7000","5.1000","BottomLayer","180"
"R16","67.2000","6.6000","BottomLayer","90"
"R15","109.0198","3.7034","BottomLayer","90"
"R14","108.0198","3.7034","BottomLayer","90"
"R11","36.9000","9.0000","BottomLayer","0"
"R10","77.8000","9.7000","BottomLayer","90"
"R9","49.4750","7.0500","BottomLayer","0"
"R8","79.8000","7.7000","BottomLayer","270"
"R7","93.2198","3.9034","BottomLayer","270"
"R6","94.2198","3.9034","BottomLayer","270"
"R5","49.5000","10.0000","BottomLayer","0"
"R4","48.0000","12.9000","BottomLayer","0"
"R3","48.0000","13.9000","BottomLayer","0"
"R2","36.1500","2.7000","BottomLayer","270"
"R1","37.3000","2.7000","BottomLayer","90"
"Q3","125.3000","16.8000","BottomLayer","0"
"Q2","105.3198","2.8034","BottomLayer","180"
"Q1","96.9198","4.8034","BottomLayer","0"
"J4","23.2250","14.9400","BottomLayer","180"
"D6","123.9000","13.8000","BottomLayer","0"
"D5","129.4000","16.8000","BottomLayer","0"
"D4","101.3198","2.8034","BottomLayer","270"
"D2","107.2198","5.8034","BottomLayer","0"
"D1","94.9198","1.8034","BottomLayer","0"
"C22","67.6000","12.9000","BottomLayer","270"
"C21","69.6000","12.9000","BottomLayer","270"
"C20","71.1000","12.2000","BottomLayer","270"
"C19","75.9000","12.4000","BottomLayer","270"
"C18","77.4000","13.0000","BottomLayer","270"
"C17","79.4000","13.0000","BottomLayer","270"
"C16","69.2000","8.6000","BottomLayer","270"
"C15","134.3000","15.1000","BottomLayer","180"
"C14","134.3000","17.1000","BottomLayer","180"
"C13","139.5000","10.3000","BottomLayer","270"
"C12","42.6000","13.3000","BottomLayer","270"
"C11","78.3000","7.0000","BottomLayer","90"
"C9","48.0000","15.0000","BottomLayer","180"
"C8","41.7000","15.6000","BottomLayer","180"
"C7","39.5000","15.6000","BottomLayer","0"
"C6","36.8000","11.2000","BottomLayer","90"
"C5","44.9000","14.5000","BottomLayer","180"
"C4","44.2000","12.9000","BottomLayer","180"
"C3","38.8000","12.8000","BottomLayer","0"
"C2","48.9000","2.8000","BottomLayer","270"
"C1","2.9000","14.6000","BottomLayer","180"
